date_time,lat,long,depth,magnitude,location 1,location 2,date_time_formatted,date,time,date_f
24 May 2022 - 07:11 AM,4.0,127.81,205,4.4,Sarangani Island ,Municipality Of Sarangani ,2022-05-24T07:11:00,2022-05-24,07:11:00,2022-05-24
24 May 2022 - 06:26 AM,12.61,120.34,7,3.5,Sablayan ,Occidental Mindoro,2022-05-24T06:26:00,2022-05-24,06:26:00,2022-05-24
24 May 2022 - 04:39 AM,9.95,126.26,1,3.5,Burgos ,Surigao Del Norte,2022-05-24T04:39:00,2022-05-24,04:39:00,2022-05-24
24 May 2022 - 04:00 AM,10.48,126.67,10,3.8,Burgos ,Surigao Del Norte,2022-05-24T04:00:00,2022-05-24,04:00:00,2022-05-24
30 April 2022 - 11:24 AM,2.92,126.29,118,4.3,Balut Island ,Municipality Of Sarangani ,2022-04-30T11:24:00,2022-04-30,11:24:00,2022-04-30
30 July 2022 - 12:57 PM,17.67,120.5,2,3.5,San Ildefonso ,Ilocos Sur,2022-07-30T12:57:00,2022-07-30,12:57:00,2022-07-30
30 July 2022 - 12:34 PM,17.66,120.49,1,4.0,Magsingal ,Ilocos Sur,2022-07-30T12:34:00,2022-07-30,12:34:00,2022-07-30
28 June 2022 - 01:04 AM,5.32,126.11,89,3.5,Sarangani Island ,Municipality Of Sarangani ,2022-06-28T01:04:00,2022-06-28,01:04:00,2022-06-28
31 March 2022 - 07:50 PM,5.06,126.3,101,3.5,Sarangani Island ,Municipality Of Sarangani ,2022-03-31T07:50:00,2022-03-31,07:50:00,2022-03-31
24 May 2022 - 02:24 AM,10.36,126.77,16,3.9,Burgos ,Surigao Del Norte,2022-05-24T02:24:00,2022-05-24,02:24:00,2022-05-24
24 May 2022 - 02:18 AM,10.37,126.69,15,4.5,Burgos ,Surigao Del Norte,2022-05-24T02:18:00,2022-05-24,02:18:00,2022-05-24
30 April 2022 - 03:29 AM,14.96,122.68,8,3.5,Jomalig ,Quezon,2022-04-30T03:29:00,2022-04-30,03:29:00,2022-04-30
27 June 2022 - 09:39 AM,11.19,124.39,7,4.2,Villaba ,Leyte,2022-06-27T09:39:00,2022-06-27,09:39:00,2022-06-27
18 February 2022 - 03:10 PM,3.2,125.69,34,3.8,Balut Island ,Municipality Of Sarangani ,2022-02-18T03:10:00,2022-02-18,03:10:00,2022-02-18
30 April 2022 - 02:46 AM,12.99,124.44,6,3.6,Prieto Diaz ,Sorsogon,2022-04-30T02:46:00,2022-04-30,02:46:00,2022-04-30
30 August 2022 - 08:20 PM,4.52,127.84,110,3.8,Balut Island ,Municipality Of Sarangani ,2022-08-30T08:20:00,2022-08-30,08:20:00,2022-08-30
30 July 2022 - 08:09 AM,17.21,120.51,3,3.9,San Emilio ,Ilocos Sur,2022-07-30T08:09:00,2022-07-30,08:09:00,2022-07-30
19 January 2022 - 12:44 AM,11.12,123.88,3,3.6,Medellin ,Cebu,2022-01-19T12:44:00,2022-01-19,12:44:00,2022-01-19
18 February 2022 - 04:28 AM,16.24,120.52,21,3.5,Sison ,Pangasinan,2022-02-18T04:28:00,2022-02-18,04:28:00,2022-02-18
18 February 2022 - 02:57 AM,3.61,126.17,62,3.5,Balut Island ,Municipality Of Sarangani ,2022-02-18T02:57:00,2022-02-18,02:57:00,2022-02-18
31 March 2022 - 01:04 AM,10.36,125.2,1,3.6,Hinunangan ,Southern Leyte,2022-03-31T01:04:00,2022-03-31,01:04:00,2022-03-31
23 May 2022 - 01:37 PM,3.48,127.2,72,4.6,Balut Island ,Municipality Of Sarangani ,2022-05-23T01:37:00,2022-05-23,01:37:00,2022-05-23
23 May 2022 - 08:59 AM,9.02,123.04,8,3.9,Siaton ,Negros Oriental,2022-05-23T08:59:00,2022-05-23,08:59:00,2022-05-23
23 May 2022 - 07:45 AM,5.02,126.01,64,3.9,Balut Island ,Municipality Of Sarangani ,2022-05-23T07:45:00,2022-05-23,07:45:00,2022-05-23
23 May 2022 - 04:50 AM,6.47,127.34,14,3.6,Tarragona ,Davao Oriental,2022-05-23T04:50:00,2022-05-23,04:50:00,2022-05-23
30 July 2022 - 04:43 AM,17.25,120.62,7,3.8,San Emilio ,Ilocos Sur,2022-07-30T04:43:00,2022-07-30,04:43:00,2022-07-30
18 January 2022 - 11:20 AM,5.73,126.37,82,4.3,Jose Abad Santos ,Davao Occidental,2022-01-18T11:20:00,2022-01-18,11:20:00,2022-01-18
18 January 2022 - 10:30 AM,10.18,127.16,32,3.6,General Luna ,Surigao Del Norte,2022-01-18T10:30:00,2022-01-18,10:30:00,2022-01-18
18 January 2022 - 08:31 AM,4.44,126.0,116,3.5,Balut Island ,Municipality Of Sarangani ,2022-01-18T08:31:00,2022-01-18,08:31:00,2022-01-18
22 May 2022 - 04:05 PM,7.43,123.58,17,3.8,Tabina ,Zamboanga Del Sur,2022-05-22T04:05:00,2022-05-22,04:05:00,2022-05-22
30 July 2022 - 03:03 AM,17.87,120.59,1,3.6,Nueva Era ,Ilocos Norte,2022-07-30T03:03:00,2022-07-30,03:03:00,2022-07-30
18 January 2022 - 02:26 AM,2.12,126.75,33,3.9,Balut Island ,Municipality Of Sarangani ,2022-01-18T02:26:00,2022-01-18,02:26:00,2022-01-18
