date_time,lat,long,depth,magnitude,location 1,location 2,date_time_formatted,date,time,date_f
31 May 2021 - 04:47 AM,8.48,126.92,35,2.0,Hinatuan ,Surigao Del Sur,2021-05-31T04:47:00,2021-05-31,04:47:00,2021-05-31
31 May 2021 - 02:03 AM,17.93,120.64,30,1.7,Nueva Era ,Ilocos Norte,2021-05-31T02:03:00,2021-05-31,02:03:00,2021-05-31
31 May 2021 - 02:02 AM,18.03,120.82,13,1.9,Solsona ,Ilocos Norte,2021-05-31T02:02:00,2021-05-31,02:02:00,2021-05-31
31 May 2021 - 01:30 AM,17.82,120.69,1,2.0,Nueva Era ,Ilocos Norte,2021-05-31T01:30:00,2021-05-31,01:30:00,2021-05-31
31 May 2021 - 12:31 AM,9.51,122.65,22,1.9,Basay ,Negros Oriental,2021-05-31T12:31:00,2021-05-31,12:31:00,2021-05-31
30 September 2021 - 12:54 PM,13.93,120.48,76,1.9,Calatagan ,Batangas,2021-09-30T12:54:00,2021-09-30,12:54:00,2021-09-30
30 September 2021 - 04:18 AM,13.64,120.61,84,2.0,Calatagan ,Batangas,2021-09-30T04:18:00,2021-09-30,04:18:00,2021-09-30
29 April 2021 - 07:13 AM,9.54,125.67,30,1.7,Claver ,Surigao Del Norte,2021-04-29T07:13:00,2021-04-29,07:13:00,2021-04-29
29 April 2021 - 07:12 AM,16.14,121.82,35,1.5,Dinalungan ,Aurora,2021-04-29T07:12:00,2021-04-29,07:12:00,2021-04-29
29 April 2021 - 02:32 AM,15.2,120.31,29,1.8,Mabalacat City ,Pampanga,2021-04-29T02:32:00,2021-04-29,02:32:00,2021-04-29
30 November 2021 - 05:26 PM,6.67,126.1,27,2.0,Governor Generoso ,Davao Oriental,2021-11-30T05:26:00,2021-11-30,05:26:00,2021-11-30
30 November 2021 - 12:01 PM,12.85,121.03,30,1.8,Sablayan ,Occidental Mindoro,2021-11-30T12:01:00,2021-11-30,12:01:00,2021-11-30
30 November 2021 - 08:56 AM,6.68,126.12,41,0.0,Governor Generoso ,Davao Oriental,2021-11-30T08:56:00,2021-11-30,08:56:00,2021-11-30
30 November 2021 - 04:54 AM,13.7,120.6,91,2.0,Calatagan ,Batangas,2021-11-30T04:54:00,2021-11-30,04:54:00,2021-11-30
30 November 2021 - 04:33 AM,12.24,120.67,29,1.5,Rizal ,Occidental Mindoro,2021-11-30T04:33:00,2021-11-30,04:33:00,2021-11-30
31 December 2021 - 09:16 PM,8.4,125.73,32,2.0,Talacogon ,Agusan Del Sur,2021-12-31T09:16:00,2021-12-31,09:16:00,2021-12-31
31 December 2021 - 05:57 PM,13.91,120.43,11,1.7,Calatagan ,Batangas,2021-12-31T05:57:00,2021-12-31,05:57:00,2021-12-31
31 December 2021 - 01:25 PM,9.1,126.01,138,1.8,Carmen ,Surigao Del Sur,2021-12-31T01:25:00,2021-12-31,01:25:00,2021-12-31
30 October 2021 - 01:54 PM,15.37,119.9,34,2.0,Iba ,Zambales,2021-10-30T01:54:00,2021-10-30,01:54:00,2021-10-30
30 October 2021 - 03:03 AM,10.21,123.11,14,1.5,City Of Canlaon ,Negros Oriental,2021-10-30T03:03:00,2021-10-30,03:03:00,2021-10-30
30 October 2021 - 01:34 AM,14.35,123.11,74,2.0,Tinaga Island ,Vinzons ,2021-10-30T01:34:00,2021-10-30,01:34:00,2021-10-30
30 August 2021 - 01:37 PM,16.24,119.93,45,1.8,City Of Alaminos ,Pangasinan,2021-08-30T01:37:00,2021-08-30,01:37:00,2021-08-30
